,25th Aban (CO),Enghelab (CO),Farshadi (CO),Feiz (CO),Kave (CO),Kerd abad (CO),Mirza Taher (CO),Rehnan (CO),Sanati University (CO),Veldan (CO),25th Aban (O3),Farshadi (O3),25th Aban (NO),Farshadi (NO),Feiz (NO),Kerd abad (NO),Sanati University (NO),Veldan (NO),25th Aban (NO2),Farshadi (NO2),Feiz (NO2),Kerd abad (NO2),Sanati University (NO2),Veldan (NO2),25th Aban (SO2),Enghelab (SO2),Farshadi (SO2),Feiz (SO2),Kave (SO2),Kerd abad (SO2),Mirza Taher (SO2),Rehnan (SO2),Sanati University (SO2),Veldan (SO2),Zamzam Park (PM10),Zeynabiye (PM10),25th Aban (PM2.5),Enghelab (PM2.5),Farshadi (PM2.5),Feiz (PM2.5),Kave (PM2.5),Kerd abad (PM2.5),Mirza Taher (PM2.5),Rehnan (PM2.5),Sanati University (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Zamzam Park (PM2.5),Zeynabiye (PM2.5)
Mirza Taher (SO2),-0.158190519,0.038590384,-0.00231929,-0.076052967,0.192334934,0.187413259,0.07792333,-0.047673222,0.087778773,-0.043785449,0.035968645,0.310722576,-0.101245835,0.063949211,0.115260272,-0.017035745,0.226649925,0.123133422,-0.10613471,-0.358732508,-0.195829019,-0.34334699,0.107445622,-0.264155212,0.262514403,0.504749749,0.384567788,0.487630747,0.542119057,0.544597969,0,0.356026215,0.159799555,0.097578031,0.103274568,0.124360653,0.013240115,0.014202318,0.056201463,0.091528538,0.067624105,0.025020995,0.163546176,-0.004253606,0.18511674,0.150982408,0.118950691,0.074055145,0.043031481
Rehnan (SO2),0.014656258,0.261789355,0.16363932,0.178953444,0.000558797,0.195593192,0.214827857,0.255843007,0.083654141,0.2261889,-0.036237227,0.029286908,0.139986065,0.271824302,0.21477044,0.205440171,0.072345218,0.351385387,0.17259468,0.175000453,0.108264259,0.189665556,0.043296765,0.248450688,0.231252054,0.575829064,0.126608774,0.011666144,0.43278543,0.136589972,0.356026215,0,0.237342423,0.539868617,0.08107546,0.051075072,0.138140607,0.165907455,0.179117822,0.158044416,0.137265034,0.10293247,0.182060545,0.176807204,0.142038653,0.127649471,0.197846734,0.113878136,0.023578781
Sanati University (SO2),0.084537802,0.170297743,0.309784928,0,0.217377906,0.355357229,0.397774802,0.192807197,0.370107056,0.411504837,-0.23730491,-0.249257136,0.188727071,0.365690881,0.361033008,0.379183339,0.299575399,0.25691175,0.111066722,0.334600499,0.324287449,0.360166536,0.39257648,0.40755879,0.426304474,0.363015939,0.343174723,0,0.327719969,0,0.159799555,0.237342423,0,0.274335574,0.291375659,0.19220412,0.309280183,0.309091818,0.378029147,0.388092606,0.336449541,0.398277519,0.359179521,0.392046678,0.395603023,0.400265795,0.357191255,0.467869157,0.322647706
Veldan (SO2),-0.0306753,-0.031875824,0.203346313,0.223910757,-0.114037301,0.143183046,0.091314435,0.075063033,0.240940389,0.293275981,-0.065480665,-0.064556254,0.196616207,0.320903422,0.251981682,0.267106305,0.252504126,0.372371846,0.177845736,0.317388469,0.218652098,0.330178442,0.056712001,0.395808179,0.253120498,0.360505812,0.188676221,0.08631213,0.115430917,0.021148919,0.097578031,0.539868617,0.274335574,0,-0.039276627,-0.047399045,0.177442558,0.231945335,0.210716398,0.200330302,0.181384532,0.191835096,0.17269276,0.221912011,0.158563689,0.192667441,0.208832278,0.141044101,0.064239224
Zamzam Park (PM10),0.314408036,0.163501693,0.30885636,0.298678228,-0.039158307,0.366388389,0.109086873,0.154772192,0.339902735,0.339818284,-0.199156338,-0.161012637,0.196033653,0.359721583,0.325706668,0.348249294,0.271760588,0.383509385,0.229198809,0.308731301,0.404057513,0.295150145,0.343248013,0.375978093,0.173033463,0.150467819,0.039252739,0.058913195,0.249264529,0,0.103274568,0.08107546,0.291375659,-0.039276627,0,0.73051179,0.655195186,0.582455732,0.678748642,0.657000318,0.619614834,0.59847486,0.590218037,0.638926068,0.585789076,0.621003487,0.674761053,0.79954968,0.636385461
Zeynabiye (PM10),0.373748791,0.162995007,0.345382854,0.34038082,0.038919264,0.351799898,0.043765229,0.144544177,0.394406459,0.349034543,-0.197977855,-0.207905251,0.222824772,0.37535737,0.32260834,0.338517955,0.303265856,0.381001507,0.304157464,0.331867322,0.401528645,0.287889931,0.372841489,0.368710888,0.192256711,0.143914767,0.055074508,-0.093498442,0.325933152,0,0.124360653,0.051075072,0.19220412,-0.047399045,0.73051179,0,0.634742898,0.505863596,0.616248365,0.59044057,0.630641308,0.57351735,0.49613679,0.584676776,0.58092547,0.543289129,0.603573754,0.544082186,0.827603679
25th Aban (PM2.5),0.382204366,0.134129266,0.440850655,0.464965272,0.028523073,0.366122896,0.205875861,0.142927403,0.434260244,0.42065836,-0.307665676,-0.139570012,0.300857292,0.373254576,0.338904864,0.352633047,0.350540055,0.344848883,0.23134763,0.314099314,0.307764714,0.26502553,0.377478828,0.336294696,0.319108627,0.132868323,0.219408898,0.092328641,0.139961243,0.028922759,0.013240115,0.138140607,0.309280183,0.177442558,0.655195186,0.634742898,0,0.642661017,0.833126605,0.774438179,0.709715362,0.722296177,0.613054016,0.655166313,0.732583695,0.731676248,0.790464818,0.679380246,0.691930975
Enghelab (PM2.5),0.256765332,0.053841209,0.349293283,0.408001468,-0.099084171,0.288663252,0.122838861,0.061583251,0.423315673,0.353162399,-0.136547894,-0.067661947,0.228673167,0.340201357,0.294708048,0.331263717,0.384690459,0.319572117,0.217068747,0.227738778,0.230291893,0.211664939,0.343411821,0.23613608,0.202197775,0.086650077,0.215829331,0.056544072,0.058942008,0.103217343,0.014202318,0.165907455,0.309091818,0.231945335,0.582455732,0.505863596,0.642661017,0,0.695455982,0.68094652,0.688524868,0.644048082,0.711966586,0.676449458,0.638287574,0.695371635,0.632508566,0.578666862,0.538133912
Farshadi (PM2.5),0.299975782,0.143932761,0.433926807,0.454668116,0.012302801,0.404436961,0.213022762,0.120559586,0.460520884,0.415112713,-0.241253568,-0.177968828,0.237882998,0.420805843,0.369329109,0.400930602,0.366330694,0.362168191,0.218008572,0.293590145,0.322071573,0.269081175,0.39925767,0.311652303,0.267759098,0.153973094,0.249160681,0.126711498,0.137707196,0.12238445,0.056201463,0.179117822,0.378029147,0.210716398,0.678748642,0.616248365,0.833126605,0.695455982,0,0.847393109,0.706279704,0.760454634,0.657532943,0.677438861,0.744505407,0.779130563,0.780593449,0.747309424,0.696195284
Feiz (PM2.5),0.264607743,0.123155983,0.413395862,0.499115022,0.014923433,0.429471482,0.221466183,0.115515449,0.467518966,0.404664058,-0.252239749,-0.170162228,0.225189297,0.394572901,0.418719772,0.402802371,0.370688467,0.362972844,0.200028562,0.248985693,0.306893785,0.231639104,0.382362363,0.275690711,0.257969891,0.123305471,0.256815162,0.186741316,0.146627482,0.196388443,0.091528538,0.158044416,0.388092606,0.200330302,0.657000318,0.59044057,0.774438179,0.68094652,0.847393109,0,0.692025713,0.776705691,0.656564944,0.65933861,0.727623905,0.823182685,0.754274825,0.741851884,0.67694885
Kave (PM2.5),0.27815167,0.087494163,0.376667144,0.427285418,0.023420395,0.30346688,0.132284192,0.100895413,0.48373675,0.420166777,-0.173224626,-0.159614762,0.199316174,0.344954577,0.367324998,0.299512096,0.345948519,0.365168701,0.164356754,0.195379139,0.242728226,0.140524451,0.412829656,0.263501909,0.195824555,0.131550156,0.192708257,0.139019665,0.213145996,0.156166396,0.067624105,0.137265034,0.336449541,0.181384532,0.619614834,0.630641308,0.709715362,0.688524868,0.706279704,0.692025713,0,0.654145647,0.654996392,0.70786201,0.742081266,0.694083481,0.679373168,0.639475171,0.679347856
Kerd abad (PM2.5),0.285800925,0.08695967,0.433095245,0.497892961,0.006855731,0.512311029,0.242766331,0.125378193,0.506379939,0.431586036,-0.312253617,-0.275223684,0.280190984,0.436546726,0.428029645,0.517460948,0.407806793,0.391947586,0.228046156,0.303514228,0.334681581,0.322617924,0.407665429,0.326384796,0.27654904,0.080427393,0.246269439,0.148668259,0.089740334,0.199111762,0.025020995,0.10293247,0.398277519,0.191835096,0.59847486,0.57351735,0.722296177,0.644048082,0.760454634,0.776705691,0.654145647,0,0.585416799,0.60638436,0.670887263,0.742584488,0.699275396,0.693896422,0.701069812
Mirza Taher (PM2.5),0.19477286,0.041149451,0.294036976,0.288855821,-0.0548801,0.289569762,0.116390625,0.044583709,0.396742592,0.289402414,-0.102968097,-0.037475498,0.151810438,0.29573551,0.278667765,0.274753093,0.300453322,0.30809459,0.061860709,0.074722037,0.113059676,0.078042211,0.320031075,0.12213067,0.223346906,0.11986827,0.220710371,0.179621222,0.177984531,0.085958239,0.163546176,0.182060545,0.359179521,0.17269276,0.590218037,0.49613679,0.613054016,0.711966586,0.657532943,0.656564944,0.654996392,0.585416799,0,0.659683321,0.638062505,0.658636005,0.642132615,0.583288179,0.504824904
Rehnan (PM2.5),0.259288364,0.038358169,0.354938147,0.378285355,-0.109337549,0.316404579,0.116471439,0.097543246,0.476075574,0.403829725,-0.185185506,-0.179972222,0.243344595,0.405739091,0.34009717,0.343008045,0.354573345,0.381370533,0.225436286,0.255142556,0.268907378,0.248091204,0.387337447,0.319663294,0.167776485,0.114334277,0.137641291,0.051330527,0.064365705,0.162118525,-0.004253606,0.176807204,0.392046678,0.221912011,0.638926068,0.584676776,0.655166313,0.676449458,0.677438861,0.65933861,0.70786201,0.60638436,0.659683321,0,0.703134911,0.696290277,0.658641357,0.665290999,0.619980583
Sanati University (PM2.5),0.148795389,0.062302457,0.332773954,0.154441801,0.062483199,0.286791925,0.121195041,0.040460582,0.636778993,0.382601429,-0.145094565,-0.110550896,0.148946493,0.373658306,0.359563669,0.334018165,0.442324427,0.394261571,0.250939398,0.293517421,0.346201893,0.251889185,0.492260081,0.40757612,0.289325293,0.199057499,0.234065494,0.074770218,0.316561847,0.007449613,0.18511674,0.142038653,0.395603023,0.158563689,0.585789076,0.58092547,0.732583695,0.638287574,0.744505407,0.727623905,0.742081266,0.670887263,0.638062505,0.703134911,0,0.738787153,0.747127351,0.664137814,0.655933933
SepahanShahr (PM2.5),0.140549426,0.04376363,0.328072324,0.263502456,0.047466693,0.327578263,0.149116951,0.033959,0.47985714,0.359325827,-0.169152714,-0.147592545,0.157354247,0.365491223,0.362522032,0.361702003,0.356113616,0.369332902,0.222175322,0.296753059,0.352845421,0.280128472,0.370376348,0.391331096,0.281289476,0.183828615,0.241198267,0.083681512,0.261816445,0.048257207,0.150982408,0.127649471,0.400265795,0.192667441,0.621003487,0.543289129,0.731676248,0.695371635,0.779130563,0.823182685,0.694083481,0.742584488,0.658636005,0.696290277,0.738787153,0,0.735519388,0.73238731,0.631381297
Veldan (PM2.5),0.306419743,0.174672809,0.45385846,0.436391057,0.076480841,0.421810746,0.270117564,0.179677692,0.481006797,0.476450783,-0.267340248,-0.210157915,0.234388898,0.368796712,0.379114127,0.375545279,0.372450818,0.405348387,0.203950577,0.252848301,0.292035976,0.223134809,0.390931326,0.308984996,0.251549763,0.146715985,0.22948591,0.163721532,0.206630779,0.148025332,0.118950691,0.197846734,0.357191255,0.208832278,0.674761053,0.603573754,0.790464818,0.632508566,0.780593449,0.754274825,0.679373168,0.699275396,0.642132615,0.658641357,0.747127351,0.735519388,0,0.732195151,0.680299443
Zamzam Park (PM2.5),0.141716773,0.164999406,0.451676374,0.335507579,0.084666204,0.462722164,0.29142867,0.13181276,0.470478054,0.501153668,-0.383218443,-0.414825621,0.265855384,0.493778876,0.506791706,0.505177708,0.322500232,0.434473925,0.225747059,0.455451824,0.492097875,0.45285508,0.366982784,0.558455566,0.352024275,0.196148886,0.24294582,0.106557269,0.232541552,0,0.074055145,0.113878136,0.467869157,0.141044101,0.79954968,0.544082186,0.679380246,0.578666862,0.747309424,0.741851884,0.639475171,0.693896422,0.583288179,0.665290999,0.664137814,0.73238731,0.732195151,0,0.722989057
Zeynabiye (PM2.5),0.214553207,0.137901605,0.470228968,0.391388218,0.079542955,0.466137596,0.210629026,0.094676289,0.486043922,0.477911332,-0.39128056,-0.433542449,0.266601735,0.490435325,0.482293634,0.502234841,0.351684927,0.447656205,0.308820829,0.465618744,0.494761687,0.437246732,0.410046276,0.525898483,0.327502845,0.117988285,0.194729585,-0.053366511,0.277022505,0,0.043031481,0.023578781,0.322647706,0.064239224,0.636385461,0.827603679,0.691930975,0.538133912,0.696195284,0.67694885,0.679347856,0.701069812,0.504824904,0.619980583,0.655933933,0.631381297,0.680299443,0.722989057,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relevant 1,25th Aban (NO),Rehnan (CO),Feiz (CO),Farshadi (CO),Enghelab (CO),Kerd abad (NO),Rehnan (CO),Mirza Taher (CO),Sanati University (NO),Farshadi (CO),Farshadi (O3),25th Aban (O3),Farshadi (NO),Veldan (NO),Farshadi (NO),Kerd abad (CO),Sanati University (NO2),Farshadi (NO),Farshadi (NO2),Veldan (NO2),Veldan (NO2),Farshadi (NO2),Sanati University (NO),Farshadi (NO2),Farshadi (SO2),Rehnan (SO2),Feiz (SO2),Farshadi (SO2),Mirza Taher (SO2),Farshadi (SO2),Kerd abad (SO2),Enghelab (SO2),Zamzam Park (PM2.5),Rehnan (SO2),Zamzam Park (PM2.5),Zeynabiye (PM2.5),Farshadi (PM2.5),Mirza Taher (PM2.5),Feiz (PM2.5),Farshadi (PM2.5),Sanati University (PM2.5),Feiz (PM2.5),Enghelab (PM2.5),Kave (PM2.5),Veldan (PM2.5),Feiz (PM2.5),25th Aban (PM2.5),Zamzam Park (PM10),Zeynabiye (PM10)
relevant 2,Feiz (CO),Farshadi (CO),Veldan (CO),Veldan (CO),Kave (SO2),Farshadi (CO),Farshadi (O3),Enghelab (CO),Sanati University (NO2),Feiz (CO),25th Aban (NO),Farshadi (NO2),Farshadi (O3),Feiz (NO),Veldan (NO),Farshadi (NO),Sanati University (CO),Feiz (NO),Veldan (NO2),Kerd abad (NO2),Farshadi (NO2),Veldan (NO2),Sanati University (CO),Kerd abad (NO2),Feiz (SO2),Mirza Taher (SO2),Kerd abad (SO2),Mirza Taher (SO2),Enghelab (SO2),Mirza Taher (SO2),Kave (SO2),Veldan (SO2),25th Aban (SO2),Veldan (NO2),Zeynabiye (PM10),Zamzam Park (PM10),Veldan (PM2.5),Farshadi (PM2.5),25th Aban (PM2.5),SepahanShahr (PM2.5),25th Aban (PM2.5),Farshadi (PM2.5),Rehnan (PM2.5),Sanati University (PM2.5),Farshadi (PM2.5),Farshadi (PM2.5),Farshadi (PM2.5),Farshadi (PM2.5),Zamzam Park (PM2.5)
relevant 3,Farshadi (CO),Mirza Taher (CO),Farshadi (O3),Feiz (NO),Feiz (SO2),Farshadi (O3),Feiz (CO),25th Aban (CO),Sanati University (PM2.5),Farshadi (O3),Farshadi (NO),Farshadi (CO),25th Aban (O3),Kerd abad (NO),Feiz (CO),Feiz (NO),Sanati University (PM2.5),Kerd abad (NO),25th Aban (NO),Farshadi (O3),Kerd abad (NO2),Farshadi (O3),Sanati University (PM2.5),Feiz (NO2),Sanati University (SO2),Kave (SO2),25th Aban (SO2),Kerd abad (SO2),Rehnan (SO2),Feiz (SO2),Enghelab (SO2),Kave (SO2),Veldan (CO),Veldan (NO),Farshadi (PM2.5),25th Aban (PM2.5),Feiz (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Kerd abad (PM2.5),Rehnan (PM2.5),SepahanShahr (PM2.5),SepahanShahr (PM2.5),SepahanShahr (PM2.5),Kave (PM2.5),Kerd abad (PM2.5),Feiz (PM2.5),Feiz (PM2.5),Kerd abad (PM2.5)
relevant 4,Veldan (CO),Farshadi (O3),Kerd abad (CO),Kerd abad (CO),Rehnan (CO),Feiz (CO),Veldan (CO),Veldan (CO),Veldan (CO),Veldan (NO),Kerd abad (CO),Veldan (CO),25th Aban (CO),Farshadi (O3),Kerd abad (NO),Veldan (NO),Kerd abad (PM2.5),Veldan (CO),Feiz (NO2),Feiz (NO2),Feiz (CO),Feiz (NO2),Veldan (CO),Farshadi (O3),Sanati University (CO),Sanati University (SO2),Mirza Taher (SO2),25th Aban (SO2),Kave (CO),Kerd abad (CO),Feiz (SO2),Mirza Taher (SO2),Veldan (NO2),Enghelab (SO2),Veldan (PM2.5),Kave (PM2.5),Sanati University (PM2.5),Kave (PM2.5),SepahanShahr (PM2.5),25th Aban (PM2.5),Farshadi (PM2.5),25th Aban (PM2.5),Farshadi (PM2.5),Farshadi (PM2.5),SepahanShahr (PM2.5),Sanati University (PM2.5),Sanati University (PM2.5),SepahanShahr (PM2.5),Farshadi (PM2.5)
relevant 5,Rehnan (CO),Feiz (CO),Feiz (NO),Feiz (NO2),Mirza Taher (CO),Feiz (NO),Enghelab (CO),Feiz (CO),Veldan (NO2),Veldan (NO2),Feiz (NO),Farshadi (NO),Farshadi (NO2),25th Aban (NO),Farshadi (O3),Farshadi (O3),Farshadi (NO),Farshadi (CO),Kerd abad (NO2),25th Aban (NO2),Farshadi (O3),Kerd abad (NO),Veldan (NO2),Veldan (CO),25th Aban (NO),Veldan (SO2),Sanati University (CO),Kave (SO2),Sanati University (NO2),Enghelab (CO),Farshadi (SO2),Veldan (NO),SepahanShahr (PM2.5),Kerd abad (NO2),Feiz (PM2.5),Farshadi (PM2.5),SepahanShahr (PM2.5),Feiz (PM2.5),Kerd abad (PM2.5),Veldan (PM2.5),SepahanShahr (PM2.5),Zeynabiye (PM2.5),Feiz (PM2.5),Enghelab (PM2.5),25th Aban (PM2.5),Veldan (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),25th Aban (PM2.5)
,25th Aban (NO),Rehnan (CO),Feiz (CO),Feiz (NO),Feiz (SO2),Kerd abad (NO),Rehnan (CO),Mirza Taher (CO),Sanati University (NO),Farshadi (CO),Farshadi (O3),25th Aban (O3),Farshadi (NO),Veldan (NO),Farshadi (NO),Farshadi (NO),Sanati University (CO),Farshadi (NO),Farshadi (NO2),Veldan (NO2),Veldan (NO2),Farshadi (NO2),Sanati University (NO),Farshadi (NO2),Kerd abad (SO2),Kerd abad (SO2),Feiz (SO2),Farshadi (SO2),Mirza Taher (SO2),Feiz (SO2),Feiz (SO2),Enghelab (SO2),Sanati University (NO),Feiz (SO2),Zamzam Park (PM2.5),Zeynabiye (PM2.5),Farshadi (PM2.5),Mirza Taher (PM2.5),Feiz (PM2.5),Farshadi (PM2.5),Sanati University (PM2.5),Feiz (PM2.5),Enghelab (PM2.5),Kave (PM2.5),Farshadi (PM2.5),Feiz (PM2.5),25th Aban (PM2.5),Zamzam Park (PM10),Zeynabiye (PM10)
,Feiz (CO),Mirza Taher (CO),Veldan (CO),Farshadi (CO),Enghelab (CO),Farshadi (CO),Farshadi (O3),Enghelab (CO),Sanati University (NO2),Feiz (CO),25th Aban (NO),Farshadi (NO2),Veldan (NO),Feiz (NO),Veldan (NO),Kerd abad (NO2),Sanati University (NO2),Feiz (NO),25th Aban (NO),Feiz (NO2),Farshadi (NO2),Kerd abad (NO),Sanati University (CO),Feiz (NO2),Farshadi (SO2),Rehnan (SO2),Kerd abad (SO2),Kerd abad (SO2),Enghelab (SO2),Farshadi (SO2),Kerd abad (SO2),Veldan (SO2),Veldan (SO2),Kerd abad (SO2),Zeynabiye (PM10),Zamzam Park (PM10),Veldan (PM2.5),SepahanShahr (PM2.5),25th Aban (PM2.5),Kerd abad (PM2.5),Farshadi (PM2.5),Farshadi (PM2.5),Rehnan (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Farshadi (PM2.5),Farshadi (PM2.5),Veldan (PM2.5),Zamzam Park (PM2.5)
,Farshadi (CO),Farshadi (CO),Farshadi (NO),Veldan (CO),Kave (SO2),Feiz (CO),Veldan (CO),Veldan (CO),Sanati University (PM2.5),Veldan (NO),Farshadi (NO),Farshadi (NO),Feiz (NO),25th Aban (NO),Feiz (CO),Feiz (NO),Sanati University (SO2),25th Aban (NO),Veldan (NO2),Kerd abad (NO2),Feiz (NO),Veldan (NO2),Sanati University (PM2.5),Kerd abad (NO2),Feiz (SO2),Mirza Taher (SO2),25th Aban (SO2),Veldan (SO2),Rehnan (SO2),Veldan (SO2),Enghelab (SO2),Mirza Taher (SO2),Sanati University (CO),Rehnan (SO2),Farshadi (PM2.5),25th Aban (PM2.5),Feiz (PM2.5),Farshadi (PM2.5),Veldan (PM2.5),25th Aban (PM2.5),25th Aban (PM2.5),25th Aban (PM2.5),SepahanShahr (PM2.5),Zamzam Park (PM2.5),SepahanShahr (PM2.5),Kerd abad (PM2.5),Feiz (PM2.5),Farshadi (PM2.5),Farshadi (PM2.5)
,Farshadi (NO),Feiz (CO),Farshadi (O3),Feiz (NO2),Kerd abad (SO2),Farshadi (O3),Feiz (CO),25th Aban (CO),Veldan (CO),Veldan (NO2),Feiz (NO),Farshadi (CO),Farshadi (NO2),Kerd abad (NO),25th Aban (NO),Kerd abad (CO),Veldan (NO),Veldan (NO2),Feiz (NO2),Farshadi (NO),Kerd abad (NO2),Feiz (NO2),Veldan (NO),Veldan (NO),Veldan (SO2),Kave (SO2),Veldan (SO2),25th Aban (SO2),Feiz (SO2),25th Aban (SO2),Kave (SO2),Kerd abad (SO2),25th Aban (SO2),Sanati University (SO2),Veldan (PM2.5),Kave (PM2.5),Kerd abad (PM2.5),Feiz (PM2.5),Kerd abad (PM2.5),SepahanShahr (PM2.5),Rehnan (PM2.5),Veldan (PM2.5),Kave (PM2.5),Sanati University (PM2.5),Feiz (PM2.5),Veldan (PM2.5),Kerd abad (PM2.5),Feiz (PM2.5),25th Aban (PM2.5)
,Veldan (CO),Veldan (CO),Kerd abad (CO),Kerd abad (CO),Sanati University (NO),Veldan (CO),Enghelab (CO),Feiz (CO),Veldan (NO2),Farshadi (O3),Kerd abad (CO),Feiz (NO),25th Aban (NO2),Farshadi (NO2),Kerd abad (NO),Veldan (NO),Veldan (SO2),Kerd abad (NO),Farshadi (NO),Farshadi (O3),Farshadi (NO),Kerd abad (SO2),Veldan (NO2),Feiz (NO),Sanati University (SO2),Feiz (SO2),Mirza Taher (SO2),Mirza Taher (SO2),Kave (CO),Farshadi (NO),Farshadi (SO2),Kave (SO2),Mirza Taher (CO),Farshadi (SO2),Zeynabiye (PM2.5),Farshadi (PM2.5),SepahanShahr (PM2.5),Kave (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Feiz (PM2.5),SepahanShahr (PM2.5),Feiz (PM2.5),Enghelab (PM2.5),25th Aban (PM2.5),25th Aban (PM2.5),SepahanShahr (PM2.5),Zeynabiye (PM2.5),Kerd abad (PM2.5)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
