,25th Aban (CO),Enghelab (CO),Farshadi (CO),Feiz (CO),Kave (CO),Kerd abad (CO),Mirza Taher (CO),Rehnan (CO),Sanati University (CO),Veldan (CO),25th Aban (O3),Farshadi (O3),25th Aban (NO),Farshadi (NO),Feiz (NO),Kerd abad (NO),Sanati University (NO),Veldan (NO),25th Aban (NO2),Farshadi (NO2),Feiz (NO2),Kerd abad (NO2),Sanati University (NO2),Veldan (NO2),25th Aban (SO2),Enghelab (SO2),Farshadi (SO2),Feiz (SO2),Kave (SO2),Kerd abad (SO2),Mirza Taher (SO2),Rehnan (SO2),Sanati University (SO2),Veldan (SO2),Zamzam Park (PM10),Zeynabiye (PM10),25th Aban (PM2.5),Enghelab (PM2.5),Farshadi (PM2.5),Feiz (PM2.5),Kave (PM2.5),Kerd abad (PM2.5),Mirza Taher (PM2.5),Rehnan (PM2.5),Sanati University (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Zamzam Park (PM2.5),Zeynabiye (PM2.5)
25th Aban (O3),-0.433520729,-0.289928768,-0.576003639,-0.558467031,-0.129470626,-0.611457996,-0.411002287,-0.326873138,-0.30109468,-0.555042932,0,0.912767355,-0.619221713,-0.618428941,-0.588436282,-0.562174211,-0.158598131,-0.515105585,-0.333666577,-0.489360832,-0.409097476,-0.416584237,-0.209203709,-0.469265908,-0.307333059,-0.005514858,-0.151012402,-0.160464925,-0.059965393,-0.198857859,0.035968645,-0.036237227,-0.23730491,-0.065480665,-0.199156338,-0.197977855,-0.307665676,-0.136547894,-0.241253568,-0.252239749,-0.173224626,-0.312253617,-0.102968097,-0.185185506,-0.145094565,-0.169152714,-0.267340248,-0.383218443,-0.39128056
Farshadi (O3),-0.388632723,-0.430155551,-0.783604185,0,-0.188297511,-0.673318904,-0.494844574,-0.271059558,-0.355971812,-0.72537452,0.912767355,0,-0.627588863,-0.720285886,-0.667811819,-0.644910793,-0.106888879,-0.418761194,-0.396882499,-0.800629845,-0.582081603,-0.679346708,-0.139168534,-0.691894243,-0.328919757,0.051378517,-0.217734701,0,-0.027751447,0,0.310722576,0.029286908,-0.249257136,-0.064556254,-0.161012637,-0.207905251,-0.139570012,-0.067661947,-0.177968828,-0.170162228,-0.159614762,-0.275223684,-0.037475498,-0.179972222,-0.110550896,-0.147592545,-0.210157915,-0.414825621,-0.433542449
25th Aban (NO),0.606164196,0.342748689,0.479404764,0.504371349,0.031444163,0.443284751,0.39448345,0.413631328,0.333865265,0.502396678,-0.619221713,-0.627588863,0,0.657103963,0.536105888,0.562029924,0.224819327,0.544402816,0.532217956,0.57217154,0.420357865,0.47654592,0.143880106,0.474128871,0.36556339,0.104018571,0.250193411,0.136895771,-0.065037626,0.127077845,-0.101245835,0.139986065,0.188727071,0.196616207,0.196033653,0.222824772,0.300857292,0.228673167,0.237882998,0.225189297,0.199316174,0.280190984,0.151810438,0.243344595,0.148946493,0.157354247,0.234388898,0.265855384,0.266601735
Farshadi (NO),0.324506888,0.271541745,0.63590781,0.566718483,-0.011747481,0.621679944,0.33762125,0.275929822,0.52141722,0.612629056,-0.618428941,-0.720285886,0.657103963,0,0.75648715,0.749029327,0.398417246,0.785245566,0.364805867,0.55694101,0.43897264,0.489971585,0.406408072,0.562669276,0.332112368,0.201886549,0.161649848,0.128185795,0.162045622,0.239029778,0.063949211,0.271824302,0.365690881,0.320903422,0.359721583,0.37535737,0.373254576,0.340201357,0.420805843,0.394572901,0.344954577,0.436546726,0.29573551,0.405739091,0.373658306,0.365491223,0.368796712,0.493778876,0.490435325
Feiz (NO),0.266797136,0.326271378,0.647603941,0.716831339,0.108822441,0.625905711,0.393383489,0.279076947,0.559675104,0.654755627,-0.588436282,-0.667811819,0.536105888,0.75648715,0,0.687444371,0.377895458,0.735127855,0.373224726,0.521493553,0.547345716,0.431205809,0.429339199,0.587314112,0.32247673,0.160132298,0.218488765,0.242848334,0.213616813,0.303232657,0.115260272,0.21477044,0.361033008,0.251981682,0.325706668,0.32260834,0.338904864,0.294708048,0.369329109,0.418719772,0.367324998,0.428029645,0.278667765,0.34009717,0.359563669,0.362522032,0.379114127,0.506791706,0.482293634
Kerd abad (NO),0.301308107,0.197909468,0.599505917,0.617382913,-0.045856106,0.75750478,0.39012802,0.24849737,0.47896785,0.579831526,-0.562174211,-0.644910793,0.562029924,0.749029327,0.687444371,0,0.38900685,0.670433523,0.355382069,0.529589028,0.502405436,0.637994887,0.351371948,0.54537195,0.304784403,0.074449447,0.160830234,0.08267742,0.031476569,0.254494962,-0.017035745,0.205440171,0.379183339,0.267106305,0.348249294,0.338517955,0.352633047,0.331263717,0.400930602,0.402802371,0.299512096,0.517460948,0.274753093,0.343008045,0.334018165,0.361702003,0.375545279,0.505177708,0.502234841
Sanati University (NO),0.04286704,-0.014077841,0.334269969,0.206862474,0.145403591,0.278262624,0.195912693,0.012982526,0.711171862,0.38033993,-0.158598131,-0.106888879,0.224819327,0.398417246,0.377895458,0.38900685,0,0.395783359,0.217169794,0.299982584,0.312853124,0.275920179,0.72281999,0.362385406,0.317608777,0.169331415,0.30507237,0.008124833,0.218459411,0,0.226649925,0.072345218,0.299575399,0.252504126,0.271760588,0.303265856,0.350540055,0.384690459,0.366330694,0.370688467,0.345948519,0.407806793,0.300453322,0.354573345,0.442324427,0.356113616,0.372450818,0.322500232,0.351684927
Veldan (NO),0.266563772,0.255264728,0.572513366,0.547744501,-0.012505765,0.565097267,0.327948862,0.303612635,0.483455892,0.666936166,-0.515105585,-0.418761194,0.544402816,0.785245566,0.735127855,0.670433523,0.395783359,0,0.354396576,0.44441775,0.375008576,0.400401979,0.388830013,0.56006297,0.279876209,0.21145983,0.122902998,0.101517905,0.220117916,0.240405483,0.123133422,0.351385387,0.25691175,0.372371846,0.383509385,0.381001507,0.344848883,0.319572117,0.362168191,0.362972844,0.365168701,0.391947586,0.30809459,0.381370533,0.394261571,0.369332902,0.405348387,0.434473925,0.447656205
25th Aban (NO2),0.335351435,0.226218698,0.34594453,0.386770654,-0.060951927,0.310220958,0.201300788,0.17776773,0.366424644,0.394923767,-0.333666577,-0.396882499,0.532217956,0.364805867,0.373224726,0.355382069,0.217169794,0.354396576,0,0.613722147,0.519377605,0.492796697,0.237542232,0.570806341,0.154006177,0.094896449,0.133058381,-0.150502566,-0.058508122,0.256316627,-0.10613471,0.17259468,0.111066722,0.177845736,0.229198809,0.304157464,0.23134763,0.217068747,0.218008572,0.200028562,0.164356754,0.228046156,0.061860709,0.225436286,0.250939398,0.222175322,0.203950577,0.225747059,0.308820829
Farshadi (NO2),0.401967145,0.261010089,0.586618792,0.595198423,-0.038592463,0.38293859,0.28696847,0.300753351,0.490993625,0.592757123,-0.489360832,-0.800629845,0.57217154,0.55694101,0.521493553,0.529589028,0.299982584,0.44441775,0.613722147,0,0.727788933,0.803028722,0.386366534,0.835162643,0.152813058,0.077326991,-0.045787571,-0.251417988,-0.125802734,-0.313338064,-0.358732508,0.175000453,0.334600499,0.317388469,0.308731301,0.331867322,0.314099314,0.227738778,0.293590145,0.248985693,0.195379139,0.303514228,0.074722037,0.255142556,0.293517421,0.296753059,0.252848301,0.455451824,0.465618744
